,ds,y
908,2020-04-01 18:30:00,330
909,2020-04-01 19:00:00,370
910,2020-04-01 19:30:00,247
911,2020-04-01 20:00:00,97
912,2020-04-01 20:30:00,96
913,2020-04-01 21:00:00,126
914,2020-04-02 08:00:00,136
915,2020-04-02 08:30:00,129
916,2020-04-02 09:00:00,288
917,2020-04-02 09:30:00,165
918,2020-04-02 10:00:00,164
919,2020-04-02 10:30:00,298
920,2020-04-02 11:00:00,499
921,2020-04-02 11:30:00,369
922,2020-04-02 12:00:00,267
923,2020-04-02 12:30:00,390
924,2020-04-02 13:00:00,358
925,2020-04-02 13:30:00,455
926,2020-04-02 14:00:00,94
927,2020-04-02 14:30:00,240
928,2020-04-02 15:00:00,355
929,2020-04-02 15:30:00,442
930,2020-04-02 16:00:00,493
931,2020-04-02 16:30:00,363
932,2020-04-02 17:00:00,347
933,2020-04-02 17:30:00,456
934,2020-04-02 18:00:00,450
935,2020-04-02 18:30:00,466
936,2020-04-02 19:00:00,277
937,2020-04-02 19:30:00,168
938,2020-04-02 20:00:00,178
939,2020-04-02 20:30:00,151
940,2020-04-02 21:00:00,25
941,2020-04-03 07:00:00,2
942,2020-04-03 08:00:00,166
943,2020-04-03 08:30:00,149
944,2020-04-03 09:00:00,123
945,2020-04-03 09:30:00,198
946,2020-04-03 10:00:00,248
947,2020-04-03 10:30:00,205
948,2020-04-03 11:00:00,373
949,2020-04-03 11:30:00,551
950,2020-04-03 12:00:00,364
951,2020-04-03 12:30:00,348
952,2020-04-03 13:00:00,448
953,2020-04-03 13:30:00,509
954,2020-04-03 14:00:00,471
955,2020-04-03 14:30:00,162
956,2020-04-03 15:00:00,355
957,2020-04-03 15:30:00,472
958,2020-04-03 16:00:00,303
959,2020-04-03 16:30:00,372
960,2020-04-03 17:00:00,408
961,2020-04-03 17:30:00,409
962,2020-04-03 18:00:00,583
963,2020-04-03 18:30:00,330
964,2020-04-03 19:00:00,299
965,2020-04-03 19:30:00,400
966,2020-04-03 20:00:00,229
967,2020-04-03 20:30:00,139
968,2020-04-03 21:00:00,4
969,2020-04-04 07:30:00,1
970,2020-04-04 08:00:00,86
971,2020-04-04 08:30:00,302
972,2020-04-04 09:00:00,270
973,2020-04-04 09:30:00,186
974,2020-04-04 10:00:00,371
975,2020-04-04 10:30:00,506
976,2020-04-04 11:00:00,358
977,2020-04-04 11:30:00,432
978,2020-04-04 12:00:00,504
979,2020-04-04 12:30:00,655
980,2020-04-04 13:00:00,293
981,2020-04-04 13:30:00,257
982,2020-04-04 14:00:00,604
983,2020-04-04 14:30:00,297
984,2020-04-04 15:00:00,155
985,2020-04-04 15:30:00,347
986,2020-04-04 16:00:00,421
987,2020-04-04 16:30:00,328
988,2020-04-04 17:00:00,560
989,2020-04-04 17:30:00,459
990,2020-04-04 18:00:00,398
991,2020-04-04 18:30:00,354
992,2020-04-04 19:00:00,238
993,2020-04-04 19:30:00,344
994,2020-04-04 20:00:00,103
995,2020-04-04 20:30:00,49
996,2020-04-04 21:00:00,34
997,2020-04-05 08:00:00,166
998,2020-04-05 08:30:00,162
999,2020-04-05 09:00:00,309
1000,2020-04-05 09:30:00,97
1001,2020-04-05 10:00:00,428
1002,2020-04-05 10:30:00,358
1003,2020-04-05 11:00:00,336
1004,2020-04-05 11:30:00,497
1005,2020-04-05 12:00:00,206
1006,2020-04-05 12:30:00,427
1007,2020-04-05 13:00:00,402
1008,2020-04-05 13:30:00,337
1009,2020-04-05 14:00:00,266
1010,2020-04-05 14:30:00,157
1011,2020-04-05 15:00:00,371
1012,2020-04-05 15:30:00,180
1013,2020-04-05 16:00:00,307
1014,2020-04-05 16:30:00,110
1015,2020-04-05 17:00:00,121
1016,2020-04-05 17:30:00,246
1017,2020-04-05 18:00:00,305
1018,2020-04-05 18:30:00,191
1019,2020-04-05 19:00:00,193
1020,2020-04-05 19:30:00,120
1021,2020-04-05 20:00:00,122
1022,2020-04-05 20:30:00,54
1023,2020-04-06 07:30:00,1
1024,2020-04-06 08:00:00,67
1025,2020-04-06 08:30:00,125
1026,2020-04-06 09:00:00,232
1027,2020-04-06 09:30:00,316
1028,2020-04-06 10:00:00,22
1029,2020-04-06 10:30:00,163
1030,2020-04-06 11:00:00,200
1031,2020-04-06 11:30:00,260
1032,2020-04-06 12:00:00,161
1033,2020-04-06 12:30:00,285
1034,2020-04-06 13:00:00,232
1035,2020-04-06 13:30:00,265
1036,2020-04-06 14:00:00,213
1037,2020-04-06 14:30:00,293
1038,2020-04-06 15:00:00,365
1039,2020-04-06 15:30:00,463
1040,2020-04-06 16:00:00,540
1041,2020-04-06 16:30:00,322
1042,2020-04-06 17:00:00,218
1043,2020-04-06 17:30:00,121
1044,2020-04-06 18:00:00,212
1045,2020-04-06 18:30:00,284
1046,2020-04-06 19:00:00,414
1047,2020-04-06 19:30:00,66
1048,2020-04-06 20:00:00,84
1049,2020-04-06 20:30:00,245
1050,2020-04-06 21:00:00,141
1051,2020-04-07 08:00:00,161
1052,2020-04-07 08:30:00,146
1053,2020-04-07 09:00:00,322
1054,2020-04-07 09:30:00,78
1055,2020-04-07 10:00:00,212
1056,2020-04-07 10:30:00,237
1057,2020-04-07 11:00:00,443
1058,2020-04-07 11:30:00,700
1059,2020-04-07 12:00:00,260
1060,2020-04-07 12:30:00,179
1061,2020-04-07 13:00:00,321
1062,2020-04-07 13:30:00,284
1063,2020-04-07 14:00:00,308
1064,2020-04-07 14:30:00,209
1065,2020-04-07 15:00:00,389
1066,2020-04-07 15:30:00,585
1067,2020-04-07 16:00:00,805
1068,2020-04-07 16:30:00,612
1069,2020-04-07 17:00:00,327
1070,2020-04-07 17:30:00,259
1071,2020-04-07 18:00:00,263
1072,2020-04-07 18:30:00,323
1073,2020-04-07 19:00:00,252
1074,2020-04-07 19:30:00,146
1075,2020-04-07 20:00:00,246
1076,2020-04-07 20:30:00,132
1077,2020-04-07 21:00:00,100
1078,2020-04-08 07:30:00,15
1079,2020-04-08 08:00:00,74
1080,2020-04-08 08:30:00,168
1081,2020-04-08 09:00:00,91
1082,2020-04-08 09:30:00,147
1083,2020-04-08 10:00:00,175
1084,2020-04-08 10:30:00,166
1085,2020-04-08 11:00:00,124
1086,2020-04-08 11:30:00,199
1087,2020-04-08 12:00:00,270
1088,2020-04-08 12:30:00,387
1089,2020-04-08 13:00:00,284
1090,2020-04-08 13:30:00,93
1091,2020-04-08 14:00:00,106
1092,2020-04-08 14:30:00,151
1093,2020-04-08 15:00:00,305
1094,2020-04-08 15:30:00,400
1095,2020-04-08 16:00:00,641
1096,2020-04-08 16:30:00,326
1097,2020-04-08 17:00:00,340
1098,2020-04-08 17:30:00,327
1099,2020-04-08 18:00:00,203
1100,2020-04-08 18:30:00,330
1101,2020-04-08 19:00:00,303
1102,2020-04-08 19:30:00,148
1103,2020-04-08 20:00:00,216
1104,2020-04-08 20:30:00,178
1105,2020-04-08 21:00:00,16
1106,2020-04-09 07:30:00,7
1107,2020-04-09 08:00:00,223
1108,2020-04-09 08:30:00,224
1109,2020-04-09 09:00:00,327
1110,2020-04-09 09:30:00,236
1111,2020-04-09 10:00:00,229
1112,2020-04-09 10:30:00,196
1113,2020-04-09 11:00:00,330
1114,2020-04-09 11:30:00,725
1115,2020-04-09 12:00:00,559
1116,2020-04-09 12:30:00,559
1117,2020-04-09 13:00:00,385
1118,2020-04-09 13:30:00,693
1119,2020-04-09 14:00:00,263
1120,2020-04-09 14:30:00,297
1121,2020-04-09 15:00:00,569
1122,2020-04-09 15:30:00,363
1123,2020-04-09 16:00:00,300
1124,2020-04-09 16:30:00,429
1125,2020-04-09 17:00:00,221
1126,2020-04-09 17:30:00,444
1127,2020-04-09 18:00:00,774
1128,2020-04-09 18:30:00,525
1129,2020-04-09 19:00:00,462
1130,2020-04-09 19:30:00,221
1131,2020-04-09 20:00:00,261
1132,2020-04-09 20:30:00,381
1133,2020-04-09 21:00:00,104
1134,2020-04-09 21:30:00,37
1135,2020-04-10 07:30:00,1
1136,2020-04-10 08:00:00,56
1137,2020-04-10 08:30:00,40
1138,2020-04-10 09:00:00,72
1139,2020-04-10 09:30:00,263
1140,2020-04-10 10:00:00,257
1141,2020-04-10 10:30:00,236
1142,2020-04-10 11:00:00,347
1143,2020-04-10 11:30:00,306
1144,2020-04-10 12:00:00,634
1145,2020-04-10 12:30:00,323
1146,2020-04-10 13:00:00,334
1147,2020-04-10 13:30:00,240
1148,2020-04-10 14:00:00,268
1149,2020-04-10 14:30:00,601
1150,2020-04-10 15:00:00,183
1151,2020-04-10 15:30:00,186
1152,2020-04-10 16:00:00,492
1153,2020-04-10 16:30:00,258
1154,2020-04-10 17:00:00,318
1155,2020-04-10 17:30:00,402
1156,2020-04-10 18:00:00,367
1157,2020-04-10 18:30:00,178
1158,2020-04-10 19:00:00,139
1159,2020-04-10 19:30:00,227
1160,2020-04-10 20:00:00,195
1161,2020-04-10 20:30:00,102
1162,2020-04-10 21:00:00,75
1163,2020-04-10 21:30:00,21
1164,2020-04-11 08:00:00,69
1165,2020-04-11 08:30:00,187
1166,2020-04-11 09:00:00,322
1167,2020-04-11 09:30:00,249
1168,2020-04-11 10:00:00,299
1169,2020-04-11 10:30:00,446
1170,2020-04-11 11:00:00,336
1171,2020-04-11 11:30:00,234
1172,2020-04-11 12:00:00,366
1173,2020-04-11 12:30:00,616
1174,2020-04-11 13:00:00,557
1175,2020-04-11 13:30:00,432
1176,2020-04-11 14:00:00,153
1177,2020-04-11 14:30:00,242
1178,2020-04-11 15:00:00,342
1179,2020-04-11 15:30:00,449
1180,2020-04-11 16:00:00,449
1181,2020-04-11 16:30:00,226
1182,2020-04-11 17:00:00,288
1183,2020-04-11 17:30:00,367
1184,2020-04-11 18:00:00,394
1185,2020-04-11 18:30:00,243
1186,2020-04-11 19:00:00,326
1187,2020-04-11 19:30:00,413
1188,2020-04-11 20:00:00,164
1189,2020-04-11 20:30:00,37
1190,2020-04-11 21:30:00,65
1191,2020-04-11 22:00:00,10
1192,2020-04-12 08:00:00,111
1193,2020-04-12 08:30:00,126
1194,2020-04-12 09:00:00,121
1195,2020-04-12 09:30:00,128
1196,2020-04-12 10:00:00,244
1197,2020-04-12 10:30:00,205
1198,2020-04-12 11:00:00,290
1199,2020-04-12 11:30:00,208
1200,2020-04-12 12:00:00,461
1201,2020-04-12 12:30:00,446
1202,2020-04-12 13:00:00,345
1203,2020-04-12 13:30:00,278
1204,2020-04-12 14:00:00,360
1205,2020-04-12 14:30:00,126
1206,2020-04-12 15:00:00,151
1207,2020-04-12 15:30:00,287
1208,2020-04-12 16:00:00,105
1209,2020-04-12 16:30:00,165
1210,2020-04-12 17:00:00,146
1211,2020-04-12 17:30:00,169
1212,2020-04-12 18:00:00,255
1213,2020-04-12 18:30:00,66
1214,2020-04-12 19:00:00,176
1215,2020-04-12 19:30:00,13
1216,2020-04-12 20:00:00,22
1217,2020-04-12 20:30:00,33
1218,2020-04-12 21:00:00,10
1219,2020-04-13 08:00:00,66
1220,2020-04-13 08:30:00,43
1221,2020-04-13 09:00:00,78
1222,2020-04-13 09:30:00,66
1223,2020-04-13 10:00:00,71
1224,2020-04-13 10:30:00,202
1225,2020-04-13 11:00:00,265
1226,2020-04-13 11:30:00,291
1227,2020-04-13 12:00:00,211
1228,2020-04-13 12:30:00,318
1229,2020-04-13 13:00:00,172
1230,2020-04-13 13:30:00,224
1231,2020-04-13 14:00:00,353
1232,2020-04-13 14:30:00,477
1233,2020-04-13 15:00:00,217
1234,2020-04-13 15:30:00,195
1235,2020-04-13 16:00:00,315
1236,2020-04-13 16:30:00,180
1237,2020-04-13 17:00:00,261
1238,2020-04-13 17:30:00,279
1239,2020-04-13 18:00:00,305
1240,2020-04-13 18:30:00,181
1241,2020-04-13 19:00:00,323
1242,2020-04-13 19:30:00,162
1243,2020-04-13 20:00:00,116
1244,2020-04-13 20:30:00,101
1245,2020-04-13 21:00:00,73
1246,2020-04-14 08:00:00,103
1247,2020-04-14 08:30:00,265
1248,2020-04-14 09:00:00,151
